,suburb,postcode,mean_price
214,Toorak,3142,1412000
215,Truganina,3029,812500
216,Vermont,3133,740000
217,Vermont South,3133,1210000
218,Viewbank,3084,1255000
219,Warragul,3820,
220,Warrandyte,3113,
221,Warrnambool,3280,658500
222,Watsonia,3087,880000
223,Watsonia North,3087,952500
224,Werribee,3030,518750
225,West Footscray,3012,920107.1429
226,West Melbourne,3003,2610000
227,Westmeadows,3049,630000
228,Wheelers Hill,3150,1145500
229,Whittington,3219,370000
230,Williams Landing,3027,
231,Williamstown,3016,
232,Windsor,3181,687000
233,Wodonga,3690,675000
234,Wollert,3750,727000
235,Yackandandah,3749,525000
236,Yallambie,3085,900000
237,Yarraville,3013,
